code,date,value
TVTVR,2015-05-03,33.4595
TVTVR,2015-05-02,25.5427
TVTVR,2015-05-01,21.5657
TVTVR,2015-04-30,17.3309
TVTVR,2015-04-29,23.0222
TVTVR,2015-04-28,17.9987
TVTVR,2015-04-27,20.0776
TVTVR,2015-04-26,16.081
TVTVR,2015-04-25,22.7642
TVTVR,2015-04-24,23.7772
TVTVR,2015-04-23,15.622
TVTVR,2015-04-22,16.0645
TVTVR,2015-04-21,32.0944
TVTVR,2015-04-20,31.4712
TVTVR,2015-04-19,20.019
TVTVR,2015-04-18,33.8625
TVTVR,2015-04-17,19.8005
TVTVR,2015-04-16,17.3898
TVTVR,2015-04-15,15.7196
TVTVR,2015-04-14,13.2314
TVTVR,2015-04-13,17.0665
TVTVR,2015-04-12,39.7609
TVTVR,2015-04-11,37.8559
TVTVR,2015-04-10,15.552
TVTVR,2015-04-09,22.977
TVTVR,2015-04-08,19.2354
TVTVR,2015-04-07,33.1801
TVTVR,2015-04-06,18.1085
TVTVR,2015-04-05,18.2007
TVTVR,2015-04-04,34.9225
TVTVR,2015-04-03,20.5114
TVTVR,2015-04-02,25.8183
TVTVR,2015-04-01,29.2703
TVTVR,2015-03-31,21.909
TVTVR,2015-03-30,20.9181
TVTVR,2015-03-29,22.3043
TVTVR,2015-03-28,23.2054
TVTVR,2015-03-27,32.0797
TVTVR,2015-03-26,25.2945
TVTVR,2015-03-25,14.6036
TVTVR,2015-03-24,11.9377
TVTVR,2015-03-23,17.9514
TVTVR,2015-03-22,33.8465
TVTVR,2015-03-21,29.2553
TVTVR,2015-03-20,21.2561
TVTVR,2015-03-19,11.895
TVTVR,2015-03-18,15.1091
TVTVR,2015-03-17,29.0162
TVTVR,2015-03-16,19.4295
TVTVR,2015-03-15,35.9983
TVTVR,2015-03-14,25.6829
TVTVR,2015-03-13,19.6357
TVTVR,2015-03-12,26.6947
TVTVR,2015-03-11,35.637
TVTVR,2015-03-10,19.2358
TVTVR,2015-03-09,18.2964
TVTVR,2015-03-08,60.0403
TVTVR,2015-03-07,43.9982
TVTVR,2015-03-06,21.1421
TVTVR,2015-03-05,17.3322
TVTVR,2015-03-04,16.025
TVTVR,2015-03-03,10.3246
TVTVR,2015-03-02,12.1708
TVTVR,2015-03-01,23.4501
TVTVR,2015-02-28,17.6568
TVTVR,2015-02-27,10.8385
TVTVR,2015-02-26,27.8274
TVTVR,2015-02-25,39.3866
TVTVR,2015-02-24,26.9082
TVTVR,2015-02-23,21.7448
TVTVR,2015-02-22,18.6604
TVTVR,2015-02-21,40.8683
TVTVR,2015-02-20,13.4957
TVTVR,2015-02-19,23.035
TVTVR,2015-02-18,12.6323
TVTVR,2015-02-17,12.6279
TVTVR,2015-02-16,10.1477
TVTVR,2015-02-15,5.7113
TVTVR,2015-02-14,11.5605
TVTVR,2015-02-13,11.8851
TVTVR,2015-02-12,20.1128
TVTVR,2015-02-11,18.8849
TVTVR,2015-02-10,21.3342
TVTVR,2015-02-09,11.1639
TVTVR,2015-02-08,8.8237
TVTVR,2015-02-07,22.8697
TVTVR,2015-02-06,17.5406
TVTVR,2015-02-05,14.511
TVTVR,2015-02-04,11.0048
TVTVR,2015-02-03,12.3355
TVTVR,2015-02-02,8.7548
TVTVR,2015-02-01,8.4392
TVTVR,2015-01-31,11.3106
TVTVR,2015-01-30,8.1928
TVTVR,2015-01-29,7.0341
TVTVR,2015-01-28,10.5928
TVTVR,2015-01-27,9.5278
TVTVR,2015-01-26,6.3052
TVTVR,2015-01-25,5.2877
TVTVR,2015-01-24,16.7822
TVTVR,2015-01-23,11.9467
TVTVR,2015-01-22,7.7079
TVTVR,2015-01-21,29.8278
TVTVR,2015-01-20,12.1298
TVTVR,2015-01-19,12.1438
TVTVR,2015-01-18,8.6397
TVTVR,2015-01-17,8.2024
TVTVR,2015-01-16,5.5685
TVTVR,2015-01-15,4.0165
TVTVR,2015-01-14,3.9658
TVTVR,2015-01-13,7.325
TVTVR,2015-01-12,15.1837
TVTVR,2015-01-11,13.9653
TVTVR,2015-01-10,6.7692
TVTVR,2015-01-09,7.2496
TVTVR,2015-01-08,4.7836
TVTVR,2015-01-07,6.5887
TVTVR,2015-01-06,5.2438
TVTVR,2015-01-05,5.8159
TVTVR,2015-01-04,6.929
TVTVR,2015-01-03,15.0387
TVTVR,2015-01-02,27.851
TVTVR,2015-01-01,16.1796
TVTVR,2014-12-31,22.6765
TVTVR,2014-12-30,20.4664
TVTVR,2014-12-29,25.744
TVTVR,2014-12-28,16.9203
TVTVR,2014-12-27,14.6031
TVTVR,2014-12-26,22.9801
TVTVR,2014-12-25,24.8106
TVTVR,2014-12-24,34.0552
TVTVR,2014-12-23,24.3149
TVTVR,2014-12-22,15.6188
TVTVR,2014-12-21,17.4594
TVTVR,2014-12-20,11.6051
TVTVR,2014-12-19,11.3243
TVTVR,2014-12-18,12.0856
TVTVR,2014-12-17,10.0482
TVTVR,2014-12-16,10.8374
TVTVR,2014-12-15,17.8385
TVTVR,2014-12-14,19.8299
TVTVR,2014-12-13,23.0331
TVTVR,2014-12-12,17.8545
TVTVR,2014-12-11,11.0371
TVTVR,2014-12-10,30.0706
TVTVR,2014-12-09,14.5571
TVTVR,2014-12-08,22.1214
TVTVR,2014-12-07,46.2954
TVTVR,2014-12-06,42.5668
TVTVR,2014-12-05,34.3833
TVTVR,2014-12-04,15.8616
TVTVR,2014-12-03,25.0897
TVTVR,2014-12-02,53.4101
TVTVR,2014-12-01,28.3135
TVTVR,2014-11-30,28.4123
TVTVR,2014-11-29,20.2691
TVTVR,2014-11-28,36.911
TVTVR,2014-11-27,14.0759
TVTVR,2014-11-26,14.6768
TVTVR,2014-11-25,9.9337
TVTVR,2014-11-24,8.3255
TVTVR,2014-11-23,15.9914
TVTVR,2014-11-22,16.7357
TVTVR,2014-11-21,10.3016
TVTVR,2014-11-20,10.7393
TVTVR,2014-11-19,12.9782
TVTVR,2014-11-18,14.2374
TVTVR,2014-11-17,8.0422
TVTVR,2014-11-16,11.1948
TVTVR,2014-11-15,12.2822
TVTVR,2014-11-14,8.699
TVTVR,2014-11-13,6.1931
TVTVR,2014-11-12,6.5988
TVTVR,2014-11-11,15.135
TVTVR,2014-11-10,8.8552
TVTVR,2014-11-09,11.8901
TVTVR,2014-11-08,32.2838
TVTVR,2014-11-07,16.8295
TVTVR,2014-11-06,11.3829
TVTVR,2014-11-05,15.8595
TVTVR,2014-11-04,10.5494
TVTVR,2014-11-03,11.8334
TVTVR,2014-11-02,8.4068
TVTVR,2014-11-01,9.2342
TVTVR,2014-10-31,10.9921
TVTVR,2014-10-30,12.6995
TVTVR,2014-10-29,11.5338
TVTVR,2014-10-28,15.7905
TVTVR,2014-10-27,15.4878
TVTVR,2014-10-26,11.2143
TVTVR,2014-10-25,11.1996
TVTVR,2014-10-24,8.2583
TVTVR,2014-10-23,7.8945
TVTVR,2014-10-22,22.1026
TVTVR,2014-10-21,12.7805
TVTVR,2014-10-20,11.4954
TVTVR,2014-10-19,22.2295
TVTVR,2014-10-18,14.3606
TVTVR,2014-10-17,9.1479
TVTVR,2014-10-16,7.0179
